Código,"Verso com ""pedra""",Autor,Singular 0 ou Plural 1,Título original,Tipo,Fonte (link)
PRO001,"Água mole em pedra dura, tanto bate até que fura",Provérbio,0,-,Provérbio,
CAD01,No meio do caminho tinha uma pedra,Carlos Drummond de Andrade,0,No meio do caminho,Poesia,
TOJ001,"É pau, é pedra, é o fim do caminho",Tom Jobim,0,Águas de Março,Canção,
RAF001,É que as pedras vão cantar,Raimundo Fagner,1,Pedras que cantam,Canção,
PRO002,Pedra que rola não cria limo,Provérbio,0,-,Provérbio,
PRO003,Passarinho que come pedra sabe o cu que tem,Provérbio,0,-,Provérbio,
BIB001,"Tu és Pedro, e sobre esta pedra edificarei a minha igreja",Bíblia - Mateus,0,-,Bíblia,Mateus 16:18
CHC001,Joga pedra na Geni,Chico Buarque,0,Geni e o Zepelim,Canção,
DJA001,Fui pro mar e você lá deitada na pedra,,0,Pedra,Canção,
DJA002,Que inveja dessa pedra,,0,Pedra,Canção,
COC001,Levantei a pedra rude dos meus versos,Cora Coralina,0,Das pedras,Poesia,
JOC001,como que talhada em pedra,João Cabral de Mello Neto,0,Estudos para uma bailadora andaluza,Poesia,
FRM001,"Pedra noventa, só enfrenta quem aguenta",Francisco Milani (Pedro Pedreira),0,,Bordão,
JOC001,"O mar, que só preza a pedra,",João Cabral de Mello Neto,0,Cemitério alagoano (Trapiche da Barra),,
MAQ001,"Na mesma pedra se encontram,",Mário Quintana,0,Inscrição para um portão de cemitério,Poesia,
MAM001,"tem pedra, tem sol",Martha Medeiros,0,Caminho,Poesia,
ADP001,"Olho pedra, vejo pedra mesmo.",Adélia Prado,0,Paixão,Poesia,
PAL001,"a linha bate na pedra,",Paulo Leminski,0,Minifesto,Poesia,
CEC001,meus olhos secos como pedras,Ceclília Meireles,1,Canção,Poesia,
MAB001,Me abandonaram sobre as pedras infinitamente nu,Manoel de Barros,1,Sou fuga para flauta e pedra doce,Poesia,
MAB002,Sou fuga para flauta e pedra doce.,Manoel de Barros,0,Sou fuga para flauta e pedra doce,Poesia,
MAQ002,"O poema é uma pedra no abismo,",Mário Quintana,0,O poema. II,Poesia,
MAB003,Se a gente jogar uma pedra no vento,Manoel de Barros,0,Vento,Poesia,
MAB004,Hoje eu tasquei uma pedra no organismo,Manoel de Barros,0,Vento,Poesia,
HUG001,E uma pedra em cada mão,Humberto Gessinger,0,Nada fácil,Canção,
RAC001,Atire a primeira pedra quem tem rastro meu,Racionais MCs,0,Jesus Chorou,Canção,
ALC001,Então as pedras escrevem versos?,Alberto Caeiro (Fernando Pessoa),0,Dizes-me: tu és mais alguma coisa,Poesia,http://www.jornaldepoesia.jor.br/albertocaeiro9.html
ALC002,"Sei que a pedra é a real, e que a planta existe.",Alberto Caeiro (Fernando Pessoa),0,Dizes-me: tu és mais alguma coisa,Poesia,http://www.jornaldepoesia.jor.br/albertocaeiro9.html
ALC003,"Mas é que as pedras não são poetas, são pedras;",Alberto Caeiro (Fernando Pessoa),0,Dizes-me: tu és mais alguma coisa,Poesia,http://www.jornaldepoesia.jor.br/albertocaeiro9.html
ALC004,Às vezes ponho-me a olhar para uma pedra.,Alberto Caeiro (Fernando Pessoa),0,A espantosa realidade das coisas,Poesia,
ALC005,"Mas gosto dela por ela ser uma pedra,",Alberto Caeiro (Fernando Pessoa),0,A espantosa realidade das coisas,Poesia,
GOL001,Quem me dera ser a pedra,"Gomes Leal (1848-1921)
António Duarte Gomes Leal",0,Cantiga do campo,Poesia,http://www.jornaldepoesia.jor.br/gleal01.html
CAA001,"O triste existe qual a pedra medra,",Castro Alvez,0,Exortação,Poesia,https://www.escritas.org/pt/t/5146/exortacao
